VTX, IDX, position.x, position.y, position.z, normal.x, normal.y, normal.z, tangent.x, tangent.y, tangent.z, texcoord0.x, texcoord0.y
3971, 1216, -0.17793,  0.98524,  0.23593, -0.60816, -0.39562,  0.68189, -0.7756,  0.4499, -0.43003,  0.56495,  0.75421
3972, 1216, -0.17793,  0.98524,  0.23593, -0.60816, -0.39562,  0.68189, -0.7756,  0.4499, -0.43003,  0.56495,  0.75421
3973, 1250, -0.17329,  0.9928,  0.24234, -0.41384, -0.13317,  0.89537, -0.74257,  0.61419, -0.24939,  0.56142,  0.7383
3974, 1249, -0.1814,  1.00348,  0.23769, -0.63242,  0.22452,  0.73771, -0.66683,  0.31515, -0.667,  0.58381,  0.72897
3975, 1230, -0.18853,  0.99809,  0.2152, -0.9715, -0.17708,  0.11912, -0.06742, -0.26687, -0.95633,  0.62056,  0.73843
3976, 1229, -0.18823,  0.9922,  0.22148, -0.96752, -0.21589,  0.092, -0.05193, -0.18052, -0.97745,  0.60953,  0.74845
3977, 1228, -0.1881,  1.0007,  0.22764, -0.93485,  0.06466,  0.33845, -0.33616,  0.01883, -0.93558,  0.60041,  0.73669
3978, 1229, -0.18823,  0.9922,  0.22148, -0.96752, -0.21589,  0.092, -0.05193, -0.18052, -0.97745,  0.60953,  0.74845
3979, 1184, -0.18382,  0.984,  0.22691, -0.81801, -0.4592,  0.33302, -0.38466,  0.02056, -0.91717,  0.59272,  0.76163
3980, 1228, -0.1881,  1.0007,  0.22764, -0.93485,  0.06466,  0.33845, -0.33616,  0.01883, -0.93558,  0.60041,  0.73669
3981, 1184, -0.18382,  0.984,  0.22691, -0.81801, -0.4592,  0.33302, -0.38466,  0.02056, -0.91717,  0.59272,  0.76163
3982, 1216, -0.17793,  0.98524,  0.23593, -0.60816, -0.39562,  0.68189, -0.7756,  0.4499, -0.43003,  0.56495,  0.75421
3983, 1228, -0.1881,  1.0007,  0.22764, -0.93485,  0.06466,  0.33845, -0.33616,  0.01883, -0.93558,  0.60041,  0.73669
3984, 1156, -0.18812,  0.99381,  0.2043, -0.8867, -0.39984, -0.19968,  0.35578, -0.36625, -0.85447,  0.64031,  0.73867
3985, 1252, -0.18641,  0.99216,  0.20942, -0.92159, -0.37011, -0.0434,  0.17183, -0.31998, -0.92704,  0.63304,  0.74515
3986, 1230, -0.18853,  0.99809,  0.2152, -0.9715, -0.17708,  0.11912, -0.06742, -0.26687, -0.95633,  0.62056,  0.73843
3987, 1229, -0.18823,  0.9922,  0.22148, -0.96752, -0.21589,  0.092, -0.05193, -0.18052, -0.97745,  0.60953,  0.74845
3988, 1230, -0.18853,  0.99809,  0.2152, -0.9715, -0.17708,  0.11912, -0.06742, -0.26687, -0.95633,  0.62056,  0.73843
3989, 1252, -0.18641,  0.99216,  0.20942, -0.92159, -0.37011, -0.0434,  0.17183, -0.31998, -0.92704,  0.63304,  0.74515
3990, 1252, -0.18641,  0.99216,  0.20942, -0.92159, -0.37011, -0.0434,  0.17183, -0.31998, -0.92704,  0.63304,  0.74515
3991, 1257, -0.18609,  0.9864,  0.21464, -0.89224, -0.40854, -0.16735,  0.25192, -0.16231, -0.95024,  0.62376,  0.75513
3992, 1229, -0.18823,  0.9922,  0.22148, -0.96752, -0.21589,  0.092, -0.05193, -0.18052, -0.97745,  0.60953,  0.74845
3993, 1184, -0.18382,  0.984,  0.22691, -0.81801, -0.4592,  0.33302, -0.38466,  0.02056, -0.91717,  0.59272,  0.76163
3994, 1229, -0.18823,  0.9922,  0.22148, -0.96752, -0.21589,  0.092, -0.05193, -0.18052, -0.97745,  0.60953,  0.74845
3995, 1257, -0.18609,  0.9864,  0.21464, -0.89224, -0.40854, -0.16735,  0.25192, -0.16231, -0.95024,  0.62376,  0.75513
